Country,GDP
Aruba,
Africa Eastern and Southern,9.20792E+11
Afghanistan,20116137326
Africa Western and Central,7.84588E+11
Angola,58375976293
Albania,14887629268
Andorra,
Arab World,2.44758E+12
United Arab Emirates,3.58869E+11
Argentina,3.89288E+11
Armenia,12641209802
American Samoa,709000000
Antigua and Barbuda,1370281481
Australia,1.32784E+12
Austria,4.33258E+11
Azerbaijan,42607176471
Burundi,2841786382
Belgium,5.21861E+11
Benin,15651545332
Burkina Faso,17933606353
Bangladesh,3.23057E+11
Bulgaria,69889347433
Bahrain,34729228723
"Bahamas, The",9907500000
Bosnia and Herzegovina,19946496563
Belarus,60258239056
Belize,1636280797
Bermuda,6842700000
Bolivia,36572764863
Brazil,1.44473E+12
Barbados,4418000000
Brunei Darussalam,12005825770
Bhutan,2315437338
Botswana,15061922802
Central African Republic,2380087758
Canada,1.64542E+12
Central Europe and the Baltics,1.65325E+12
Switzerland,7.52248E+11
Channel Islands,
Chile,2.5294E+11
China,1.47227E+13
Cote d'Ivoire,61348579465
Cameroon,40804449726
"Congo, Dem. Rep.",48716960860
"Congo, Rep.",10187122341
Colombia,2.71438E+11
Comoros,1235400352
Cabo Verde,1703698677
Costa Rica,61846895121
Caribbean small states,66039332389
Cuba,1.07352E+11
Curacao,2595821709
Cayman Islands,5591623665
Cyprus,24612646488
Czech Republic,2.45339E+11
Germany,3.84641E+12
Djibouti,3384385217
Dominica,504214814.8
Denmark,3.56085E+11
Dominican Republic,78844702329
Algeria,1.45009E+11
East Asia & Pacific (excluding high income),1.74489E+13
Early-demographic dividend,1.06682E+13
East Asia & Pacific,2.70974E+13
Europe & Central Asia (excluding high income),3.2224E+12
Europe & Central Asia,2.21216E+13
Ecuador,98808010000
"Egypt, Arab Rep.",3.65253E+11
Euro area,1.3021E+13
Eritrea,
Spain,1.28148E+12
Estonia,30650285472
Ethiopia,1.07645E+11
European Union,1.52919E+13
Fragile and conflict affected situations,1.50864E+12
Finland,2.69595E+11
Fiji,4533883782
France,2.63032E+12
Faroe Islands,
"Micronesia, Fed. Sts.",410083600
Gabon,15316826192
United Kingdom,2.7598E+12
Georgia,15846489611
Ghana,68532281806
Gibraltar,
Guinea,15681050917
"Gambia, The",1868086275
Guinea-Bissau,1431758243
Equatorial Guinea,10021856754
Greece,1.88835E+11
Grenada,1042100556
Greenland,
Guatemala,77604632171
Guam,5844000000
Guyana,5471256595
High income,5.34611E+13
"Hong Kong SAR, China",3.46586E+11
Honduras,23662231634
Heavily indebted poor countries (HIPC),7.97697E+11
Croatia,57203783203
Haiti,14508218017
Hungary,1.55808E+11
IBRD only,2.99006E+13
IDA & IBRD total,3.21393E+13
IDA total,2.23942E+12
IDA blend,9.61669E+11
Indonesia,1.05842E+12
IDA only,1.27844E+12
Isle of Man,
India,2.66025E+12
Not classified,
Ireland,4.25889E+11
"Iran, Islamic Rep.",2.03471E+11
Iraq,1.66757E+11
Iceland,21718075725
Israel,4.07101E+11
Italy,1.88871E+12
Jamaica,13812425037
Jordan,43697659296
Japan,5.05776E+12
Kazakhstan,1.71082E+11
Kenya,1.01014E+11
Kyrgyz Republic,7735976273
Cambodia,25808561551
Kiribati,197508774.3
St. Kitts and Nevis,980740740.7
"Korea, Rep.",1.6379E+12
Kuwait,1.0596E+11
Latin America & Caribbean (excluding high income),4.03527E+12
Lao PDR,19132635712
Lebanon,31735217785
Liberia,3201187800
Libya,25418916029
St. Lucia,1616772741
Latin America & Caribbean,4.72552E+12
Least developed countries: UN classification,1.11428E+12
Low income,4.5973E+11
Liechtenstein,
Sri Lanka,80676681934
Lower middle income,7.38477E+12
Low & middle income,3.09932E+13
Lesotho,1875227642
Late-demographic dividend,2.24334E+13
Lithuania,56546957475
Luxembourg,73353132794
Latvia,33707320816
"Macao SAR, China",25586111076
St. Martin (French part),
Morocco,1.14725E+11
Monaco,6816219303
Moldova,11915547263
Madagascar,13056079982
Maldives,3742769967
Middle East & North Africa,3.03558E+12
Mexico,1.07392E+12
Marshall Islands,244462400
Middle income,3.05353E+13
North Macedonia,12263710123
Mali,17465392916
Malta,14647384608
Myanmar,79852046611
Middle East & North Africa (excluding high income),1.19575E+12
Montenegro,4769860741
Mongolia,13312981595
Northern Mariana Islands,
Mozambique,14019446610
Mauritania,7913680231
Mauritius,10920606198
Malawi,12182348213
Malaysia,3.37006E+11
North America,2.26053E+13
Namibia,10619194505
New Caledonia,
Niger,13741378450
Nigeria,4.32294E+11
Nicaragua,12621505383
Netherlands,9.13865E+11
Norway,3.62198E+11
Nepal,33657175561
Nauru,114626625.6
New Zealand,2.10701E+11
OECD members,5.23927E+13
Oman,73971391417
Other small states,3.75853E+11
Pakistan,2.6261E+11
Panama,53977036995
Peru,2.02014E+11
Philippines,3.61489E+11
Palau,257700000
Papua New Guinea,24668899683
Poland,5.96624E+11
Pre-demographic dividend,1.29315E+12
Puerto Rico,1.03138E+11
"Korea, Dem. People's Rep.",
Portugal,2.28539E+11
Paraguay,35670301496
West Bank and Gaza,15561300000
Pacific island small states,9530487872
Post-demographic dividend,4.95945E+13
French Polynesia,
Qatar,1.44411E+11
Romania,2.48716E+11
Russian Federation,1.4835E+12
Rwanda,10333991456
South Asia,3.38642E+12
Saudi Arabia,7.00118E+11
Sudan,21329109522
Senegal,24644234595
Singapore,3.39998E+11
Solomon Islands,1545888426
Sierra Leone,4063289450
El Salvador,24638720000
San Marino,
Somalia,6965285325
Serbia,53335016425
Sub-Saharan Africa (excluding high income),1.70432E+12
South Sudan,
Sub-Saharan Africa,1.70538E+12
Small states,4.51424E+11
Sao Tome and Principe,472914469.9
Suriname,2884248048
Slovak Republic,1.05173E+11
Slovenia,53589609581
Sweden,5.4122E+11
Eswatini,3972728948
Sint Maarten (Dutch part),
Seychelles,1059886364
Syrian Arab Republic,
Turks and Caicos Islands,924583000
Chad,10829076802
East Asia & Pacific (IDA & IBRD countries),1.74267E+13
Europe & Central Asia (IDA & IBRD countries),3.87673E+12
Togo,7574636979
Thailand,5.01644E+11
Tajikistan,8194150302
Turkmenistan,
Latin America & the Caribbean (IDA & IBRD countries),4.47821E+12
Timor-Leste,1902156800
Middle East & North Africa (IDA & IBRD countries),1.18018E+12
Tonga,488829964.1
South Asia (IDA & IBRD),3.38642E+12
Sub-Saharan Africa (IDA & IBRD countries),1.70538E+12
Trinidad and Tobago,21588037505
Tunisia,41620349986
Turkey,7.19955E+11
Tuvalu,48855550.2
Tanzania,62409709111
Uganda,37600368181
Ukraine,1.55499E+11
Upper middle income,2.31507E+13
Uruguay,53628827440
United States,2.0953E+13
Uzbekistan,59929951114
St. Vincent and the Grenadines,807474074.1
"Venezuela, RB",
British Virgin Islands,
Virgin Islands (U.S.),
Vietnam,2.71158E+11
Vanuatu,881547928.6
World,8.4747E+13
Samoa,807100820.6
Kosovo,7716925356
"Yemen, Rep.",
South Africa,3.35442E+11
Zambia,18110631358
Zimbabwe,18051170799
